trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-86.69019165284165,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-108.69210630617279,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-183.3919346302454,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-43.68347707014676,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,12,-21.88646967348236,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-134.54483947681928,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,15,-50.64340433576018,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-108.91880570304843,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-120.07499955650177,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-119.765381577807,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,16,-35.968512452497535,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,17,-62.82549592408081,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-86.88420951333536,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-6.012757360284345,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-27.158351188981147,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,11.06431160182241,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-74.87153436497155,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,4.589904707812001,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-24.250513720912974,"{0: 26, 1: 0, 2: 1, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-49.07303726747787,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,7.951350223573954,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,7.662473417342078,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,13,3.67553691301828,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,13,6.828965617360892,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,18.554528216349002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,0,-184.88545889991696,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 5}",0
7,True,"{'a': 0, 'e': 0}",35,0,-61.94832214399172,"{0: 29, 1: 4, 2: 0, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-39.96641109615302,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,1,18.024901776778194,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,9,-67.19904480592217,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
