trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9996367425222327}",25,0,-259.70093564222447,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 5}",0
2,False,"{'a': 0.9, 'e': 0.9996069561546155}",20,0,-176.0101250289895,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
3,False,"{'a': 0.9, 'e': 0.9995750607193851}",20,0,-46.1495720290993,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.9995409335160651}",25,0,-93.80860549180207,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.999504446578163}",20,0,-73.13462995280992,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.999465466561262}",20,0,-137.00056863796004,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.9, 'e': 0.9994238546349602}",25,0,-214.3542689766315,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
8,False,"{'a': 0.9, 'e': 0.9993794663790176}",20,0,-128.41571915271007,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.9993321516840675}",20,0,-41.92495504013193,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.9992817546572492}",20,0,-9.929806963364259,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.9992281135331129}",20,0,-185.57338142024048,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.9, 'e': 0.9991710605901486}",20,3,-25.469722687941232,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.9991104220732789}",20,0,-132.44015570087996,"{0: 10, 1: 5, 2: 0, 3: 4, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.9990460181226553}",20,0,-157.07605113133445,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",1
15,False,"{'a': 0.9, 'e': 0.9989776627090864}",20,10,-15.960488690678513,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.9989051635764185}",20,0,-105.70355508141904,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.9, 'e': 0.9988283221911797}",20,0,-68.64444816528099,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.9987469336997881}",20,14,-1.8400178716405755,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.9986607868936112}",20,0,-93.1737023896253,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.9, 'e': 0.9985696641821512}",30,0,-146.21276100613719,"{0: 15, 1: 2, 2: 10, 3: 3, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.9984733415746201}",20,6,-78.60778281169131,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
22,False,"{'a': 0.9, 'e': 0.9983715886701467}",30,0,-166.00204127636977,"{0: 18, 1: 2, 2: 4, 3: 5, 4: 1}",0
23,False,"{'a': 0.9, 'e': 0.9982641686568495}",20,0,-61.826402381430036,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.9, 'e': 0.998150838319987}",25,0,-111.24785745504467,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.9, 'e': 0.9980313480593828}",20,0,-3.7275691409801373,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.9, 'e': 0.9979054419163038}",20,14,0.9577467688309493,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.9977728576099493}",30,0,-243.0545834509932,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 5}",0
28,False,"{'a': 0.9, 'e': 0.9976333265836917}",25,0,-121.011876484957,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
29,False,"{'a': 0.9, 'e': 0.9974865740611893}",25,0,-154.42163420265047,"{0: 10, 1: 6, 2: 7, 3: 1, 4: 1}",0
