trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-215.93212601945783,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-243.35673000980537,"{0: 14, 1: 6, 2: 3, 3: 4, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-46.517820804297855,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-118.21417034041252,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-102.06583148039596,"{0: 16, 1: 3, 2: 11, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-87.47018741808361,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,4,-24.930910869911283,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-163.28340133177272,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-228.15590181166488,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-132.25051212563613,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-144.2821637312387,"{0: 15, 1: 3, 2: 11, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-128.81529135340747,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-43.256347253682804,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-58.0072798594048,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-129.32624589455492,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-158.2780545243835,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-75.93599981730523,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-130.01855790851207,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-95.92420870858575,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-154.03455805054466,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,5,-15.320747317303987,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-123.74975290357935,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-121.23864962706301,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-217.1238931002394,"{0: 11, 1: 5, 2: 3, 3: 3, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",30,0,-251.79152694287458,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 5}",0
6,True,"{'a': 0, 'e': 0}",20,0,-100.26407204305065,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-46.33838732671334,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-71.50548085228792,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-128.85432710232277,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-99.8867166530864,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
